Dish,Review,Sentiment
Chicken Curry,The Chicken Curry was too spicy and I did not like it.,0
Upma,The Upma was too spicy although it had some extremely fresh elements.,0
Dal Tadka,The Dal Tadka was perfectly cooked however slightly not worth the price.,1
Lassi,The Lassi was fantastic flavor and I really enjoyed it.,1
Pizza,The Pizza was cold when served however it had some very tasty elements.,0
Spring Roll,The Spring Roll was undercooked and I did not like it.,0
Noodles,The Noodles was very oily and I did not like it.,0
Tandoori Chicken,The Tandoori Chicken was very oily though it had some loved it elements.,0
French Fries,The French Fries was bland and tasteless however it had some extremely fresh elements.,0
Gobi Manchurian,The Gobi Manchurian was too spicy and I did not like it.,0
Orange Juice,The Orange Juice was rich and flavorful though slightly poor quality.,1
Egg Biryani,The Egg Biryani was undercooked and I did not like it.,0
Noodles,The Noodles was fantastic flavor and I really enjoyed it.,1
Fish Curry,The Fish Curry was very tasty and I really enjoyed it.,1
Lassi,The Lassi was rich and flavorful and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was very oily however it had some very tasty elements.,0
Tea,The Tea was loved it though slightly too spicy.,1
Veg Biryani,The Veg Biryani was perfectly cooked though slightly overcooked.,1
Gulab Jamun,The Gulab Jamun was overcooked and I did not like it.,0
Momos,The Momos was cold when served and I did not like it.,0
Fried Rice,The Fried Rice was great texture and I really enjoyed it.,1
Pongal,The Pongal was absolutely delicious and I really enjoyed it.,1
Chole Bhature,The Chole Bhature was great texture but slightly very oily.,1
Vada,The Vada was mouth watering and I really enjoyed it.,1
Upma,The Upma was perfectly cooked however slightly very oily.,1
Pongal,The Pongal was perfectly cooked and I really enjoyed it.,1
French Fries,The French Fries was mouth watering though slightly undercooked.,1
Veg Pulao,The Veg Pulao was loved it and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was too spicy and I did not like it.,0
Mango Juice,The Mango Juice was absolutely delicious though slightly too salty.,1
Rasgulla,The Rasgulla was poor quality and I did not like it.,0
Pakora,The Pakora was rich and flavorful and I really enjoyed it.,1
Roti,The Roti was very tasty however slightly overcooked.,1
Fish Curry,The Fish Curry was highly recommended and I really enjoyed it.,1
Milkshake,The Milkshake was very tasty however slightly not fresh.,1
Mango Juice,The Mango Juice was not worth the price and I did not like it.,0
Egg Biryani,The Egg Biryani was extremely fresh and I really enjoyed it.,1
Fried Rice,The Fried Rice was fantastic flavor and I really enjoyed it.,1
Vada,The Vada was too dry and I did not like it.,0
Pizza,The Pizza was too salty although it had some very tasty elements.,0
Milkshake,The Milkshake was excellent quality although slightly cold when served.,1
Paneer Butter Masala,The Paneer Butter Masala was poor quality but it had some very tasty elements.,0
Milkshake,The Milkshake was too salty and I did not like it.,0
Butter Chicken,The Butter Chicken was too dry and I did not like it.,0
Mutton Biryani,The Mutton Biryani was cold when served and I did not like it.,0
Idli,The Idli was mouth watering and I really enjoyed it.,1
Kadai Paneer,The Kadai Paneer was highly recommended but slightly too spicy.,1
Mango Juice,The Mango Juice was bland and tasteless although it had some highly recommended elements.,0
Egg Biryani,The Egg Biryani was excellent quality however slightly poor quality.,1
Rasgulla,The Rasgulla was very tasty however slightly too spicy.,1
Momos,The Momos was absolutely delicious and I really enjoyed it.,1
Kadai Paneer,The Kadai Paneer was undercooked and I did not like it.,0
Kadai Paneer,The Kadai Paneer was fantastic flavor however slightly cold when served.,1
Noodles,The Noodles was too salty though it had some excellent quality elements.,0
Dosa,The Dosa was super satisfying though slightly burnt taste.,1
Hot Chocolate,The Hot Chocolate was great texture though slightly cold when served.,1
Upma,The Upma was great texture and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was burnt taste and I did not like it.,0
Hot Chocolate,The Hot Chocolate was overcooked although it had some fantastic flavor elements.,0
Brownie,The Brownie was overcooked however it had some super satisfying elements.,0
Upma,The Upma was very oily though it had some fantastic flavor elements.,0
Mango Juice,The Mango Juice was not fresh and I did not like it.,0
Butter Chicken,The Butter Chicken was very tasty but slightly poor quality.,1
Fried Rice,The Fried Rice was undercooked although it had some absolutely delicious elements.,0
Burger,The Burger was extremely fresh though slightly overcooked.,1
Idli,The Idli was not fresh although it had some great texture elements.,0
Butter Chicken,The Butter Chicken was absolutely delicious and I really enjoyed it.,1
Gulab Jamun,The Gulab Jamun was burnt taste and I did not like it.,0
Veg Biryani,The Veg Biryani was cold when served however it had some extremely fresh elements.,0
Pizza,The Pizza was extremely fresh but slightly undercooked.,1
Chole Bhature,The Chole Bhature was too dry however it had some mouth watering elements.,0
Manchurian,The Manchurian was cold when served and I did not like it.,0
Tea,The Tea was very oily though it had some loved it elements.,0
Masala Dosa,The Masala Dosa was burnt taste although it had some great texture elements.,0
Roti,The Roti was super satisfying and I really enjoyed it.,1
Paneer Butter Masala,The Paneer Butter Masala was loved it and I really enjoyed it.,1
Mutton Biryani,The Mutton Biryani was poor quality and I did not like it.,0
Noodles,The Noodles was undercooked and I did not like it.,0
Noodles,The Noodles was fantastic flavor and I really enjoyed it.,1
Noodles,The Noodles was too dry however it had some rich and flavorful elements.,0
Mutton Biryani,The Mutton Biryani was excellent quality though slightly too salty.,1
Hot Chocolate,The Hot Chocolate was not worth the price though it had some super satisfying elements.,0
Brownie,The Brownie was perfectly cooked however slightly not fresh.,1
Kadai Paneer,The Kadai Paneer was extremely fresh however slightly bland and tasteless.,1
Upma,The Upma was rich and flavorful but slightly not fresh.,1
Egg Biryani,The Egg Biryani was poor quality and I did not like it.,0
Pakora,The Pakora was fantastic flavor although slightly too dry.,1
Malai Kofta,The Malai Kofta was perfectly cooked although slightly too salty.,1
Dosa,The Dosa was very oily and I did not like it.,0
Pizza,The Pizza was super satisfying but slightly cold when served.,1
Veg Biryani,The Veg Biryani was too salty although it had some rich and flavorful elements.,0
Mutton Biryani,The Mutton Biryani was undercooked and I did not like it.,0
Butter Chicken,The Butter Chicken was cold when served and I did not like it.,0
Gobi Manchurian,The Gobi Manchurian was too spicy but it had some very tasty elements.,0
Veg Biryani,The Veg Biryani was too salty but it had some loved it elements.,0
Malai Kofta,The Malai Kofta was too spicy although it had some perfectly cooked elements.,0
Milkshake,The Milkshake was fantastic flavor however slightly too dry.,1
Pizza,The Pizza was poor quality though it had some perfectly cooked elements.,0
Ice Cream,The Ice Cream was overcooked however it had some highly recommended elements.,0
Vada,The Vada was bland and tasteless and I did not like it.,0
Brownie,The Brownie was loved it however slightly poor quality.,1
Orange Juice,The Orange Juice was absolutely delicious though slightly too dry.,1
Veg Biryani,The Veg Biryani was loved it though slightly bland and tasteless.,1
Mango Juice,The Mango Juice was undercooked and I did not like it.,0
Veg Biryani,The Veg Biryani was rich and flavorful and I really enjoyed it.,1
Butter Chicken,The Butter Chicken was extremely fresh and I really enjoyed it.,1
Vada,The Vada was mouth watering and I really enjoyed it.,1
Pizza,The Pizza was great texture and I really enjoyed it.,1
Prawn Fry,The Prawn Fry was absolutely delicious but slightly overcooked.,1
Prawn Fry,The Prawn Fry was too dry but it had some absolutely delicious elements.,0
Manchurian,The Manchurian was too dry but it had some fantastic flavor elements.,0
Dosa,The Dosa was overcooked though it had some very tasty elements.,0
Paneer Butter Masala,The Paneer Butter Masala was highly recommended however slightly undercooked.,1
Dal Tadka,The Dal Tadka was great texture and I really enjoyed it.,1
Sandwich,The Sandwich was overcooked but it had some excellent quality elements.,0
Dosa,The Dosa was super satisfying and I really enjoyed it.,1
Roti,The Roti was mouth watering though slightly undercooked.,1
Sandwich,The Sandwich was excellent quality though slightly too spicy.,1
Manchurian,The Manchurian was burnt taste but it had some very tasty elements.,0
Coffee,The Coffee was very oily and I did not like it.,0
Idli,The Idli was very oily however it had some loved it elements.,0
Fried Rice,The Fried Rice was cold when served and I did not like it.,0
Cold Coffee,The Cold Coffee was highly recommended though slightly poor quality.,1
Dosa,The Dosa was rich and flavorful and I really enjoyed it.,1
Idli,The Idli was super satisfying although slightly overcooked.,1
Gulab Jamun,The Gulab Jamun was very oily and I did not like it.,0
Lassi,The Lassi was undercooked and I did not like it.,0
Samosa,The Samosa was overcooked and I did not like it.,0
Veg Biryani,The Veg Biryani was super satisfying and I really enjoyed it.,1
Idli,The Idli was excellent quality but slightly burnt taste.,1
Idli,The Idli was super satisfying and I really enjoyed it.,1
Idli,The Idli was mouth watering though slightly very oily.,1
Masala Dosa,The Masala Dosa was bland and tasteless however it had some excellent quality elements.,0
Brownie,The Brownie was fantastic flavor and I really enjoyed it.,1
Cold Coffee,The Cold Coffee was too dry and I did not like it.,0
Pongal,The Pongal was mouth watering and I really enjoyed it.,1
Roti,The Roti was too salty and I did not like it.,0
Pav Bhaji,The Pav Bhaji was excellent quality although slightly burnt taste.,1
Chole Bhature,The Chole Bhature was bland and tasteless and I did not like it.,0
Butter Chicken,The Butter Chicken was fantastic flavor although slightly not fresh.,1
Aloo Paratha,The Aloo Paratha was very tasty and I really enjoyed it.,1
Aloo Paratha,The Aloo Paratha was not worth the price though it had some perfectly cooked elements.,0
Dosa,The Dosa was undercooked although it had some absolutely delicious elements.,0
Masala Dosa,The Masala Dosa was cold when served but it had some great texture elements.,0
Orange Juice,The Orange Juice was fantastic flavor but slightly cold when served.,1
Paneer Butter Masala,The Paneer Butter Masala was not fresh although it had some mouth watering elements.,0
Veg Biryani,The Veg Biryani was bland and tasteless however it had some great texture elements.,0
Burger,The Burger was burnt taste although it had some mouth watering elements.,0
Paneer Butter Masala,The Paneer Butter Masala was too dry and I did not like it.,0
Pav Bhaji,The Pav Bhaji was overcooked however it had some mouth watering elements.,0
Chole Bhature,The Chole Bhature was loved it and I really enjoyed it.,1
Upma,The Upma was excellent quality however slightly bland and tasteless.,1
Momos,The Momos was excellent quality and I really enjoyed it.,1
Tandoori Chicken,The Tandoori Chicken was highly recommended and I really enjoyed it.,1
Ice Cream,The Ice Cream was highly recommended although slightly bland and tasteless.,1
Sandwich,The Sandwich was not worth the price and I did not like it.,0
Ice Cream,The Ice Cream was great texture and I really enjoyed it.,1
Fried Rice,The Fried Rice was super satisfying and I really enjoyed it.,1
Mutton Biryani,The Mutton Biryani was not worth the price but it had some loved it elements.,0
Coffee,The Coffee was undercooked although it had some highly recommended elements.,0
Coffee,The Coffee was poor quality and I did not like it.,0
Chicken Biryani,The Chicken Biryani was excellent quality however slightly poor quality.,1
Kadai Paneer,The Kadai Paneer was undercooked however it had some loved it elements.,0
Prawn Fry,The Prawn Fry was extremely fresh and I really enjoyed it.,1
Prawn Fry,The Prawn Fry was too dry though it had some great texture elements.,0
Vada,The Vada was overcooked and I did not like it.,0
Malai Kofta,The Malai Kofta was loved it and I really enjoyed it.,1
Sandwich,The Sandwich was great texture and I really enjoyed it.,1
Pongal,The Pongal was too dry however it had some loved it elements.,0
Rasgulla,The Rasgulla was fantastic flavor and I really enjoyed it.,1
Chicken Curry,The Chicken Curry was undercooked and I did not like it.,0
Gobi Manchurian,The Gobi Manchurian was super satisfying and I really enjoyed it.,1
Kadai Paneer,The Kadai Paneer was very oily and I did not like it.,0
Lassi,The Lassi was extremely fresh and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was not worth the price though it had some fantastic flavor elements.,0
Mutton Biryani,The Mutton Biryani was undercooked and I did not like it.,0
Gobi Manchurian,The Gobi Manchurian was burnt taste although it had some extremely fresh elements.,0
Paneer Butter Masala,The Paneer Butter Masala was very tasty and I really enjoyed it.,1
Samosa,The Samosa was too spicy and I did not like it.,0
Burger,The Burger was fantastic flavor and I really enjoyed it.,1
Sandwich,The Sandwich was not worth the price though it had some loved it elements.,0
Rajma,The Rajma was loved it and I really enjoyed it.,1
Pongal,The Pongal was very tasty however slightly cold when served.,1
Hot Chocolate,The Hot Chocolate was poor quality but it had some perfectly cooked elements.,0
Dosa,The Dosa was very tasty and I really enjoyed it.,1
Sandwich,The Sandwich was poor quality and I did not like it.,0
Orange Juice,The Orange Juice was too dry and I did not like it.,0
Pakora,The Pakora was fantastic flavor but slightly not fresh.,1
Momos,The Momos was too dry and I did not like it.,0
Chicken Biryani,The Chicken Biryani was rich and flavorful though slightly burnt taste.,1
Kadai Paneer,The Kadai Paneer was fantastic flavor but slightly bland and tasteless.,1
Mutton Biryani,The Mutton Biryani was loved it though slightly burnt taste.,1
Rasgulla,The Rasgulla was not fresh though it had some very tasty elements.,0
Mango Juice,The Mango Juice was perfectly cooked however slightly not worth the price.,1
Kadai Paneer,The Kadai Paneer was not worth the price and I did not like it.,0
Paneer Butter Masala,The Paneer Butter Masala was highly recommended and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was great texture and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was overcooked and I did not like it.,0
Orange Juice,The Orange Juice was very tasty and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was perfectly cooked but slightly bland and tasteless.,1
Aloo Paratha,The Aloo Paratha was bland and tasteless although it had some great texture elements.,0
Pav Bhaji,The Pav Bhaji was highly recommended and I really enjoyed it.,1
Noodles,The Noodles was very tasty although slightly too dry.,1
Egg Biryani,The Egg Biryani was not fresh but it had some great texture elements.,0
Idli,The Idli was overcooked and I did not like it.,0
Tandoori Chicken,The Tandoori Chicken was too dry though it had some rich and flavorful elements.,0
Fish Curry,The Fish Curry was overcooked but it had some highly recommended elements.,0
Kadai Paneer,The Kadai Paneer was very tasty though slightly too dry.,1
Pakora,The Pakora was perfectly cooked but slightly not fresh.,1
Momos,The Momos was rich and flavorful however slightly overcooked.,1
Gulab Jamun,The Gulab Jamun was very oily however it had some super satisfying elements.,0
Spring Roll,The Spring Roll was bland and tasteless but it had some mouth watering elements.,0
Egg Biryani,The Egg Biryani was super satisfying and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was loved it and I really enjoyed it.,1
Ice Cream,The Ice Cream was loved it and I really enjoyed it.,1
Samosa,The Samosa was fantastic flavor however slightly very oily.,1
French Fries,The French Fries was rich and flavorful though slightly not fresh.,1
Mutton Biryani,The Mutton Biryani was undercooked and I did not like it.,0
Momos,The Momos was absolutely delicious and I really enjoyed it.,1
Rasgulla,The Rasgulla was overcooked and I did not like it.,0
Tea,The Tea was very oily however it had some super satisfying elements.,0
Samosa,The Samosa was poor quality but it had some rich and flavorful elements.,0
Roti,The Roti was too salty but it had some super satisfying elements.,0
Mango Juice,The Mango Juice was very oily however it had some extremely fresh elements.,0
Aloo Paratha,The Aloo Paratha was mouth watering although slightly very oily.,1
Pakora,The Pakora was absolutely delicious and I really enjoyed it.,1
Coffee,The Coffee was perfectly cooked and I really enjoyed it.,1
Egg Biryani,The Egg Biryani was poor quality but it had some excellent quality elements.,0
Sandwich,The Sandwich was not worth the price and I did not like it.,0
Burger,The Burger was overcooked however it had some rich and flavorful elements.,0
Pizza,The Pizza was very tasty but slightly too dry.,1
Dosa,The Dosa was burnt taste and I did not like it.,0
Chicken Biryani,The Chicken Biryani was mouth watering but slightly not fresh.,1
Veg Pulao,The Veg Pulao was loved it and I really enjoyed it.,1
Momos,The Momos was too salty however it had some fantastic flavor elements.,0
Pongal,The Pongal was too dry however it had some fantastic flavor elements.,0
Hot Chocolate,The Hot Chocolate was too spicy and I did not like it.,0
Dal Tadka,The Dal Tadka was very oily though it had some excellent quality elements.,0
Idli,The Idli was highly recommended although slightly not fresh.,1
Veg Biryani,The Veg Biryani was perfectly cooked though slightly undercooked.,1
Cold Coffee,The Cold Coffee was not worth the price but it had some very tasty elements.,0
Samosa,The Samosa was poor quality and I did not like it.,0
Chole Bhature,The Chole Bhature was cold when served and I did not like it.,0
Vada,The Vada was extremely fresh and I really enjoyed it.,1
Butter Chicken,The Butter Chicken was very tasty though slightly overcooked.,1
French Fries,The French Fries was too salty although it had some excellent quality elements.,0
Manchurian,The Manchurian was highly recommended and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was fantastic flavor and I really enjoyed it.,1
Roti,The Roti was too dry however it had some fantastic flavor elements.,0
Tandoori Chicken,The Tandoori Chicken was very oily and I did not like it.,0
Butter Chicken,The Butter Chicken was very tasty but slightly too spicy.,1
Momos,The Momos was burnt taste however it had some mouth watering elements.,0
Spring Roll,The Spring Roll was highly recommended however slightly poor quality.,1
Rasgulla,The Rasgulla was not fresh and I did not like it.,0
Sandwich,The Sandwich was excellent quality but slightly too salty.,1
Chicken Curry,The Chicken Curry was burnt taste though it had some highly recommended elements.,0
Idli,The Idli was very tasty and I really enjoyed it.,1
Butter Chicken,The Butter Chicken was loved it and I really enjoyed it.,1
Pav Bhaji,The Pav Bhaji was too spicy and I did not like it.,0
Tandoori Chicken,The Tandoori Chicken was mouth watering however slightly cold when served.,1
Hot Chocolate,The Hot Chocolate was great texture but slightly not worth the price.,1
Mango Juice,The Mango Juice was fantastic flavor but slightly overcooked.,1
Pongal,The Pongal was bland and tasteless and I did not like it.,0
French Fries,The French Fries was mouth watering though slightly burnt taste.,1
Brownie,The Brownie was cold when served and I did not like it.,0
Prawn Fry,The Prawn Fry was too spicy and I did not like it.,0
Lassi,The Lassi was highly recommended though slightly overcooked.,1
Malai Kofta,The Malai Kofta was too salty however it had some absolutely delicious elements.,0
Orange Juice,The Orange Juice was absolutely delicious although slightly very oily.,1
Vada,The Vada was great texture and I really enjoyed it.,1
Fish Curry,The Fish Curry was very tasty and I really enjoyed it.,1
Pongal,The Pongal was bland and tasteless and I did not like it.,0
Chole Bhature,The Chole Bhature was loved it and I really enjoyed it.,1
Idli,The Idli was perfectly cooked though slightly not worth the price.,1
Idli,The Idli was too salty and I did not like it.,0
Spring Roll,The Spring Roll was poor quality however it had some extremely fresh elements.,0
Lassi,The Lassi was fantastic flavor and I really enjoyed it.,1
Pav Bhaji,The Pav Bhaji was very oily and I did not like it.,0
Pakora,The Pakora was great texture and I really enjoyed it.,1
Chicken Biryani,The Chicken Biryani was too spicy and I did not like it.,0
Chicken Biryani,The Chicken Biryani was too salty although it had some rich and flavorful elements.,0
Manchurian,The Manchurian was too salty although it had some fantastic flavor elements.,0
Pakora,The Pakora was bland and tasteless however it had some mouth watering elements.,0
Gulab Jamun,The Gulab Jamun was excellent quality and I really enjoyed it.,1
Gulab Jamun,The Gulab Jamun was cold when served but it had some super satisfying elements.,0
Upma,The Upma was not fresh and I did not like it.,0
Vada,The Vada was not worth the price however it had some highly recommended elements.,0
Coffee,The Coffee was mouth watering however slightly too spicy.,1
Mutton Biryani,The Mutton Biryani was fantastic flavor however slightly not fresh.,1
Pav Bhaji,The Pav Bhaji was not fresh however it had some super satisfying elements.,0
Fried Rice,The Fried Rice was extremely fresh and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was absolutely delicious and I really enjoyed it.,1
Upma,The Upma was cold when served but it had some great texture elements.,0
Pav Bhaji,The Pav Bhaji was great texture and I really enjoyed it.,1
Tandoori Chicken,The Tandoori Chicken was extremely fresh and I really enjoyed it.,1
Dosa,The Dosa was bland and tasteless though it had some very tasty elements.,0
Samosa,The Samosa was too salty but it had some extremely fresh elements.,0
Milkshake,The Milkshake was too spicy and I did not like it.,0
Mango Juice,The Mango Juice was fantastic flavor though slightly very oily.,1
Milkshake,The Milkshake was very oily but it had some highly recommended elements.,0
Egg Biryani,The Egg Biryani was highly recommended and I really enjoyed it.,1
Malai Kofta,The Malai Kofta was cold when served however it had some excellent quality elements.,0
Noodles,The Noodles was loved it and I really enjoyed it.,1
Dosa,The Dosa was burnt taste and I did not like it.,0
Spring Roll,The Spring Roll was highly recommended and I really enjoyed it.,1
Noodles,The Noodles was not worth the price but it had some perfectly cooked elements.,0
Malai Kofta,The Malai Kofta was very tasty although slightly too salty.,1
Rasgulla,The Rasgulla was overcooked but it had some very tasty elements.,0
Idli,The Idli was great texture though slightly poor quality.,1
Samosa,The Samosa was loved it but slightly cold when served.,1
Gobi Manchurian,The Gobi Manchurian was too dry however it had some absolutely delicious elements.,0
Lassi,The Lassi was very tasty and I really enjoyed it.,1
Manchurian,The Manchurian was excellent quality and I really enjoyed it.,1
Coffee,The Coffee was extremely fresh and I really enjoyed it.,1
Veg Pulao,The Veg Pulao was rich and flavorful but slightly cold when served.,1
Burger,The Burger was overcooked and I did not like it.,0
Momos,The Momos was not worth the price although it had some mouth watering elements.,0
Vada,The Vada was too salty however it had some rich and flavorful elements.,0
Veg Pulao,The Veg Pulao was cold when served and I did not like it.,0
Milkshake,The Milkshake was perfectly cooked and I really enjoyed it.,1
Egg Biryani,The Egg Biryani was very tasty however slightly poor quality.,1
Fish Curry,The Fish Curry was too spicy but it had some super satisfying elements.,0
Upma,The Upma was not worth the price and I did not like it.,0
Chicken Curry,The Chicken Curry was rich and flavorful although slightly too dry.,1
Cold Coffee,The Cold Coffee was undercooked but it had some rich and flavorful elements.,0
Lassi,The Lassi was too spicy although it had some perfectly cooked elements.,0
Egg Biryani,The Egg Biryani was fantastic flavor and I really enjoyed it.,1
Dal Tadka,The Dal Tadka was burnt taste but it had some fantastic flavor elements.,0
Gobi Manchurian,The Gobi Manchurian was perfectly cooked and I really enjoyed it.,1
Milkshake,The Milkshake was rich and flavorful and I really enjoyed it.,1
French Fries,The French Fries was fantastic flavor but slightly too dry.,1
Tandoori Chicken,The Tandoori Chicken was undercooked but it had some great texture elements.,0
Cold Coffee,The Cold Coffee was bland and tasteless and I did not like it.,0
Chicken Biryani,The Chicken Biryani was undercooked and I did not like it.,0
Upma,The Upma was loved it although slightly undercooked.,1
Veg Biryani,The Veg Biryani was fantastic flavor but slightly too spicy.,1
Rajma,The Rajma was great texture although slightly very oily.,1
Veg Pulao,The Veg Pulao was rich and flavorful and I really enjoyed it.,1
Samosa,The Samosa was rich and flavorful and I really enjoyed it.,1
Coffee,The Coffee was too spicy and I did not like it.,0
Chicken Biryani,The Chicken Biryani was undercooked however it had some loved it elements.,0
Hot Chocolate,The Hot Chocolate was burnt taste although it had some loved it elements.,0
Ice Cream,The Ice Cream was too spicy although it had some very tasty elements.,0
Pongal,The Pongal was excellent quality and I really enjoyed it.,1
Rajma,The Rajma was too salty and I did not like it.,0
Idli,The Idli was bland and tasteless and I did not like it.,0
Manchurian,The Manchurian was excellent quality though slightly overcooked.,1
Gobi Manchurian,The Gobi Manchurian was mouth watering although slightly not fresh.,1
Coffee,The Coffee was undercooked however it had some extremely fresh elements.,0
Manchurian,The Manchurian was extremely fresh however slightly overcooked.,1
French Fries,The French Fries was excellent quality but slightly too salty.,1
Gulab Jamun,The Gulab Jamun was very oily and I did not like it.,0
Aloo Paratha,The Aloo Paratha was great texture and I really enjoyed it.,1
Rasgulla,The Rasgulla was bland and tasteless and I did not like it.,0
Vada,The Vada was absolutely delicious and I really enjoyed it.,1
Gobi Manchurian,The Gobi Manchurian was perfectly cooked and I really enjoyed it.,1
Lassi,The Lassi was loved it however slightly too spicy.,1
Veg Pulao,The Veg Pulao was loved it though slightly cold when served.,1
Upma,The Upma was loved it although slightly too salty.,1
Paneer Butter Masala,The Paneer Butter Masala was rich and flavorful and I really enjoyed it.,1
Hot Chocolate,The Hot Chocolate was overcooked and I did not like it.,0
Pongal,The Pongal was mouth watering and I really enjoyed it.,1
Egg Biryani,The Egg Biryani was poor quality however it had some excellent quality elements.,0
Prawn Fry,The Prawn Fry was very tasty and I really enjoyed it.,1
Manchurian,The Manchurian was great texture however slightly not worth the price.,1
Roti,The Roti was poor quality but it had some excellent quality elements.,0
Samosa,The Samosa was perfectly cooked and I really enjoyed it.,1
Manchurian,The Manchurian was very oily and I did not like it.,0
Fish Curry,The Fish Curry was overcooked however it had some very tasty elements.,0
Momos,The Momos was super satisfying and I really enjoyed it.,1
Sandwich,The Sandwich was very tasty and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was burnt taste and I did not like it.,0
French Fries,The French Fries was great texture and I really enjoyed it.,1
Masala Dosa,The Masala Dosa was very tasty and I really enjoyed it.,1
Kadai Paneer,The Kadai Paneer was loved it and I really enjoyed it.,1
Samosa,The Samosa was perfectly cooked however slightly too dry.,1
Gobi Manchurian,The Gobi Manchurian was rich and flavorful and I really enjoyed it.,1
Roti,The Roti was bland and tasteless and I did not like it.,0
Brownie,The Brownie was bland and tasteless but it had some perfectly cooked elements.,0
French Fries,The French Fries was not fresh and I did not like it.,0
Spring Roll,The Spring Roll was too salty and I did not like it.,0
Ice Cream,The Ice Cream was bland and tasteless however it had some very tasty elements.,0
Rajma,The Rajma was very oily though it had some mouth watering elements.,0
Ice Cream,The Ice Cream was fantastic flavor although slightly undercooked.,1
Mutton Biryani,The Mutton Biryani was bland and tasteless and I did not like it.,0
Upma,The Upma was poor quality although it had some great texture elements.,0
Butter Chicken,The Butter Chicken was rich and flavorful though slightly too spicy.,1
Lassi,The Lassi was cold when served and I did not like it.,0
Malai Kofta,The Malai Kofta was extremely fresh but slightly undercooked.,1
Butter Chicken,The Butter Chicken was not worth the price although it had some perfectly cooked elements.,0
Rajma,The Rajma was too dry and I did not like it.,0
Hot Chocolate,The Hot Chocolate was very oily although it had some great texture elements.,0
Manchurian,The Manchurian was overcooked and I did not like it.,0
Tea,The Tea was very oily and I did not like it.,0
Mutton Biryani,The Mutton Biryani was too dry however it had some mouth watering elements.,0
Chicken Biryani,The Chicken Biryani was fantastic flavor though slightly undercooked.,1
Gulab Jamun,The Gulab Jamun was excellent quality however slightly bland and tasteless.,1
Paneer Butter Masala,The Paneer Butter Masala was very tasty and I really enjoyed it.,1
Dosa,The Dosa was undercooked although it had some mouth watering elements.,0
Idli,The Idli was poor quality but it had some great texture elements.,0
Masala Dosa,The Masala Dosa was undercooked however it had some very tasty elements.,0
Pav Bhaji,The Pav Bhaji was extremely fresh and I really enjoyed it.,1
French Fries,The French Fries was loved it but slightly bland and tasteless.,1
